x,y,theta,u,v,action
0.0,-185.0,3,0.0,0.0,-1
-1.0575667271104814,-185.05542472361148,0,0.007431705786497976,0.007431705786497976,1
-3.3762589324978602,-185.05542472361148,-3,0.007431705786497976,0.007431705786497976,1
-3.5801155679856,-185.04474105005346,0,-0.006646666442853831,-0.006646666442853831,-1
-1.4930623049295315,-185.04474105005346,3,-0.006646666442853831,-0.006646666442853831,-1
-0.7827652649100107,-185.00751595955472,6,0.0025906298340257227,0.0025906298340257227,-1
-6.194617373991491,-185.57632453685068,9,0.023966700572260767,0.023966700572260767,-1
-13.691351552968158,-186.76369058404907,6,0.04195666405188703,0.04195666405188703,1
-28.099094878832755,-188.27800542821825,3,0.05721781968896436,0.05721781968896436,1
-46.16102193975686,-189.22459091505354,0,0.06496354121291979,0.06496354121291979,1
-65.45519367999368,-189.22459091505354,-3,0.06496354121291979,0.06496354121291979,1
-82.24628221345772,-188.34460725326974,-6,0.05779351520763677,0.05779351520763677,1
-96.84827757595293,-186.80987569734177,-9,0.04248009533892561,0.04248009533892561,1
-98.70277371942704,-186.51615236357293,-6,-0.03878760924947414,-0.03878760924947414,-1
-89.64807633592194,-187.46783940762836,-3,-0.0495540409660424,-0.0495540409660424,-1
-73.39280826861086,-188.3197419086867,0,-0.05750910631497027,-0.05750910631497027,-1
-52.51700267627781,-188.3197419086867,3,-0.05750910631497027,-0.05750910631497027,-1
4.462711852888187,-185.33356160603145,0,-0.01789078743905976,-0.01789078743905976,1
23.46272811317003,-185.33356160603145,3,-0.01789078743905976,-0.01789078743905976,-1
21.034948226000687,-185.46079615850607,0,0.021125667940054924,0.021125667940054924,1
-16.463112367596732,-185.46079615850607,-3,0.021125667940054924,0.021125667940054924,1
-22.241797734767598,-185.1579480912372,-6,0.011966875597539527,0.011966875597539527,1
-18.958490301281966,-185.50303760817582,-3,-0.022057139196081568,-0.022057139196081568,-1
-8.568470609190111,-186.04755546694537,0,-0.032105642794727295,-0.032105642794727295,-1
4.562737293853345,-186.04755546694537,3,-0.032105642794727295,-0.032105642794727295,-1
13.995092254310357,-185.55322669005847,6,-0.02315619427718344,-0.02315619427718344,-1
18.329237024540372,-185.0976897184527,3,-0.008940323272782637,-0.008940323272782637,1
19.82989173244638,-185.01904373774073,0,-0.0010375938800981895,-0.0010375938800981895,1
20.1370195209557,-185.01904373774073,-3,-0.0010375938800981895,-0.0010375938800981895,1
21.148775576685647,-185.07206762579764,0,-0.007344076607372874,-0.007344076607372874,-1
23.77061092551833,-185.07206762579764,3,-0.007344076607372874,-0.007344076607372874,-1
24.747719145835664,-185.02085955385164,6,0.0015792039320490043,0.0015792039320490043,-1
20.128306983789713,-185.50637933652047,9,0.022066782732509005,0.022066782732509005,-1
8.811182628320836,-187.29883574364428,6,0.0477220349991064,0.0477220349991064,1
-7.773803191227325,-189.04198799509993,3,0.06340130448925446,0.06340130448925446,1
-29.37656152516363,-190.17414058576972,0,0.07177505748812368,0.07177505748812368,1
-51.98570463392303,-190.17414058576972,-3,0.07177505748812368,0.07177505748812368,1
-71.15578203559102,-189.1694794004643,-6,0.06439568765787018,0.06439568765787018,1
-89.40428162344335,-187.2514848065371,-9,0.04720075545034102,0.04720075545034102,1
-102.57884501529064,-185.16483895719895,-6,0.011768349118729073,0.011768349118729073,-1
-98.43128059728564,-185.60076554356849,-3,-0.02392812108717447,-0.02392812108717447,-1
-92.56868100134103,-185.9080113692176,-6,-0.029658908295777112,-0.029658908295777112,1
-79.99608363419095,-187.22944460079518,-9,-0.046906104734939856,-0.046906104734939856,1
-75.77578727187893,-187.89787387814354,-6,-0.05355456949914944,-0.05355456949914944,-1
-52.79130174632901,-190.31364065228152,-3,-0.07268327827713128,-0.07268327827713128,-1
-25.12707257524096,-191.76346146871543,0,-0.08205141444461622,-0.08205141444461622,-1
3.1806654081516683,-191.76346146871543,3,-0.08205141444461622,-0.08205141444461622,-1
34.858517853671856,-190.1032955695898,6,-0.07121787150232917,-0.07121787150232917,-1
56.874692815872976,-187.7893023367123,9,-0.05250727657741813,-0.05250727657741813,-1
73.2017074703022,-185.20335725850018,6,0.01288232980939792,0.01288232980939792,1
64.7651577526616,-186.09007436485365,3,0.03242915244044903,0.03242915244044903,1
49.15621205133825,-186.90810454600958,0,0.04323652740461748,0.04323652740461748,1
36.57438257659492,-186.90810454600958,3,0.04323652740461748,0.04323652740461748,-1
20.535339100411576,-187.7486751964205,6,0.05205513603155397,0.05205513603155397,-1
-4.486557537417547,-190.37858250743633,3,0.07306535714835362,0.07306535714835362,1
-26.58805607058627,-191.53687296438707,0,0.08060173484733592,0.08060173484733592,1
-50.68797478993934,-191.53687296438707,-3,0.08060173484733592,0.08060173484733592,1
-72.41685983451595,-190.39811035290433,-6,0.07319619703896095,0.07319619703896095,1
-92.07991647215992,-188.3314398220191,-9,0.05736013485391011,0.05736013485391011,1
-110.52824612396157,-185.40951145519603,-12,0.01911190815157443,0.01911190815157443,1
-111.58061428731371,-185.18582369678293,-15,-0.01176297793486283,-0.01176297793486283,1
-107.39683824212624,-186.3068631094036,-12,-0.03544492056174346,-0.03544492056174346,-1
-91.61465047033106,-189.66147067780702,-9,-0.06787914432931365,-0.06787914432931365,-1
-65.45607210225403,-193.8045824723201,-6,-0.09353439659591291,-0.09353439659591291,-1
-28.925670985335636,-197.64408234566224,-3,-0.11219272728919144,-0.11219272728919144,-1
12.742162278579995,-199.8278009545601,0,-0.12153469547855492,-0.12153469547855492,-1
57.709999605644676,-199.8278009545601,3,-0.12153469547855492,-0.12153469547855492,-1
99.25646473315803,-197.65044298016682,6,-0.11221889526731291,-0.11221889526731291,-1
135.77760052358104,-193.81191693188046,9,-0.09356056457403437,-0.09356056457403437,-1
165.36343821025866,-189.12598058834334,12,-0.06375979898386877,-0.06375979898386877,-1
179.85675026082683,-186.04533201166387,9,-0.03132557521629886,-0.03132557521629886,1
185.48074163415,-185.1545792856097,6,-0.009424750110666319,-0.009424750110666319,1
186.0707132692233,-185.0925707680769,3,0.0051047062835374935,0.0051047062835374935,1
183.09730045335056,-185.2484007306486,0,0.013478459282408381,0.013478459282408381,1
178.42027508235907,-185.2484007306486,-3,0.013478459282408381,0.013478459282408381,1
176.08666477301338,-185.12610139662374,0,0.007695336117563175,0.007695336117563175,-1
